"keys","en"
"Montar guanaco","Mount guanaco"
"Restablecer","Reset"
"Pulsa…","Press…"
"Pulsa una caja y luego el botón nuevo. Si ya estaba en uso, se intercambian.","Click a box, then the new button. If it was already in use, they swap."
"Stick izquierdo","Left stick"
"Stick derecho","Right stick"
"Gatillo izquierdo","Left trigger"
"Gatillo derecho","Right trigger"
"Cruceta ↑","D-pad ↑"
"Cruceta ↓","D-pad ↓"
"Cruceta ←","D-pad ←"
"Cruceta →","D-pad →"
"Clic izquierdo","Left click"
"Clic derecho","Right click"
"Clic central","Middle click"
"Rueda arriba","Wheel up"
"Rueda abajo","Wheel down"
"Atrás","Back"
"Cámara","Camera"
"Teclado y ratón","Keyboard & mouse"
"Mando","Gamepad"
"Español","Español"
"Pantalla completa","Fullscreen"
"Ventana","Windowed"
"Un juego de","A game by"
"Basado en la novela VILU","Based on the novel VILU"
"Gracias a quienes probaron el prototipo","Thanks to everyone who tested the prototype"
"y a las comunidades del norte de Chile","and to the communities of northern Chile"
"que cuidan estas historias.","who keep these stories alive."
"Nuestras raíces también son futuro.","Our roots are also our future."
"Game Director · Creative Director · Game Designer","Game Director · Creative Director · Game Designer"
"Quebrada del Alicanto","Alicanto Ravine"
"Oro","Gold"
"Casa de la Bruja","Witch's House"
"boca de la Mina","mouth of the Mine"
"Cuerpo de cazador","Hunter's body"
"Compañero","Partner"
"CHUPACABRAS","CHUPACABRAS"
"Yastay
guardián de los guanacos","Yastay
guardian of the guanacos"
"Yastay
¡Intruso!","Yastay
Intruder!"
"← Aquí","← Here"
"Guardián del Isluga","Guardian of Isluga"
"Guardián Ojos del Salado","Guardian of Ojos del Salado"
"Arriba","Up"
"Abajo","Down"
"Izquierda","Left"
"Derecha","Right"
"Atacar","Attack"
"Interactuar","Interact"
"Invocar","Summon"
"Triple Flecha","Triple Arrow"
"Cambiar Personaje (Seguir)","Switch Character (Follow)"
"Cambiar Personaje (Anclar)","Switch Character (Anchor)"
"Menú de Pausa","Pause Menu"
"Carga (Ataque de Invocación)","Charge (Summon Attack)"
